Tlab, partial wave, pn, delta, error
  5, 3F4-3H4, pp,  -0.00026, 0.00000
 10, 3F4-3H4, pp,  -0.00351, 0.00000
 25, 3F4-3H4, pp,  -0.04937, 0.00000
 50, 3F4-3H4, pp,  -0.19746, 0.00007
100, 3F4-3H4, pp,  -0.55415, 0.00082
150, 3F4-3H4, pp,  -0.87665, 0.00265
200, 3F4-3H4, pp,  -1.12927, 0.00468
250, 3F4-3H4, pp,  -1.30829, 0.00596
300, 3F4-3H4, pp,  -1.43391, 0.00709
350, 3F4-3H4, pp,  -1.54089, 0.00957
  1, 3H4, pp,  0.00000, 0.00000
  5, 3H4, pp,  0.00000, 0.00000
 10, 3H4, pp,  0.00011, 0.00000
 25, 3H4, pp,  0.00395, 0.00000
 50, 3H4, pp,  0.02613, 0.00001
100, 3H4, pp,  0.10992, 0.00033
150, 3H4, pp,  0.21957, 0.00192
200, 3H4, pp,  0.34130, 0.00579
250, 3H4, pp,  0.46369, 0.01194
300, 3H4, pp,  0.57158, 0.01927
350, 3H4, pp,  0.64970, 0.02628
